date,game_result,game_time,champion,kills,deaths,assists,damage
Jun 12 2021 9:48 PM,Defeat,22m 22s,Lucian,16,12,21,"38,916"
Jun 11 2021 11:55 PM,Defeat,31m 55s,Amumu,9,17,34,"46,056"
Jun 11 2021 11:20 PM,Defeat,19m 0s,Xin Zhao,13,12,21,"32,857"
Jun 11 2021 10:42 PM,Defeat,15m 28s,Lucian,14,10,10,"27,583"
Jun 11 2021 10:23 PM,Victory,12m 52s,Azir,3,3,22,"11,729"
Jun 11 2021 10:06 PM,Victory,16m 54s,Diana,10,6,16,"24,354"
Jun 11 2021 9:47 PM,Defeat,12m 52s,Zoe,3,7,8,"9,820"
Jun 10 2021 10:28 PM,Victory,22m 34s,Lee Sin,10,8,30,"34,540"
Jun 10 2021 10:03 PM,Defeat,15m 14s,Jayce,14,10,10,"25,629"
Jun 10 2021 9:45 PM,Defeat,22m 17s,Dr. Mundo,16,11,30,"45,749"
Jun 10 2021 9:19 PM,Victory,15m 45s,Ezreal,16,5,16,"29,077"
Jun 9 2021 11:01 PM,Victory,20m 6s,Draven,21,11,24,"45,547"
Jun 9 2021 10:38 PM,Defeat,22m 55s,Malphite,5,13,21,"18,424"
Jun 9 2021 10:04 PM,Victory,21m 4s,Kindred,13,8,15,"21,800"
Jun 9 2021 9:38 PM,Defeat,17m 23s,Ornn,3,10,30,"16,186"
Jun 9 2021 9:12 PM,Victory,20m 33s,Twisted Fate,9,10,20,"28,512"
Jun 8 2021 10:16 PM,Defeat,22m 10s,Xayah,9,11,9,"30,928"
Jun 8 2021 9:51 PM,Defeat,24m 6s,Seraphine,14,12,29,"50,163"
Jun 8 2021 9:21 PM,Victory,14m 22s,Trundle,4,4,20,"7,631"
Jun 7 2021 10:32 PM,Victory,18m 26s,Neeko,8,8,13,"27,280"
Jun 7 2021 10:11 PM,Defeat,23m 7s,LeBlanc,10,11,10,"21,027"
Jun 7 2021 9:44 PM,Defeat,17m 31s,Corki,21,9,26,"31,113"
Jun 6 2021 10:41 PM,Victory,22m 0s,Viktor,16,6,25,"51,615"
Jun 6 2021 10:16 PM,Defeat,14m 10s,Malzahar,5,6,5,"9,872"
