game_id,game_duration,champion,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageSelfMitigated,timeCCingOthers,totalDamageTaken,goldEarned,goldSpent,totalTimeCrowdControlDealt
3165147633,1335,34,True,5,9,20,2,1,2,289,0,0,0,0,58434,53065,4401,967,16288,14893,844,550,2749,14313,42,32091,13530,12200,410
3165192136,1093,45,True,10,6,20,3,2,3,244,1,0,0,0,69759,65110,3606,1042,24921,22874,1091,954,4875,8369,37,17747,12739,12000,104
3165170575,792,134,True,8,6,18,4,2,1,132,1,0,0,0,42300,39473,2182,644,16260,15137,478,644,496,4639,37,10328,9178,7400,125
3164091704,1173,268,True,6,8,17,3,2,2,231,1,0,0,0,59228,52843,5438,946,19297,17020,1382,893,495,8394,12,16959,11668,10985,56
3163631633,1835,81,True,14,15,29,4,3,4,178,1,1,0,0,133835,36663,96391,780,54319,19417,34221,680,10218,14140,2,45904,18893,17683,22
3163578139,1171,203,True,9,9,22,2,1,3,219,0,0,0,0,102473,22350,79782,341,20316,4530,15445,341,5946,8986,1,18957,14040,11235,9
3163572683,1424,268,True,21,11,25,4,3,6,141,3,1,0,0,135525,123477,9721,2326,43209,36283,4636,2290,6669,13497,20,31935,18504,16950,213
3162875156,1205,498,True,24,6,18,7,2,7,166,6,0,0,0,143357,4308,138528,520,42588,1350,40762,475,2696,11706,27,18099,16774,14900,48
3161939600,983,110,True,13,6,25,5,3,2,204,1,1,0,0,66622,4695,61373,553,26072,3261,22322,488,3055,6049,36,13936,12604,12350,171
3161932487,1165,246,False,14,8,20,4,2,3,237,2,0,0,0,84590,5891,77486,1212,27934,1715,25208,1010,7124,20034,14,24055,14122,13350,64
3161887312,1049,202,True,8,5,18,3,3,2,180,1,1,0,0,110935,9319,101093,522,21212,1575,19390,246,3265,7493,24,13748,12810,10400,119
3161880741,1126,51,True,17,5,25,7,3,4,302,3,1,0,0,126510,4081,122042,386,42299,1959,39952,386,1104,7726,31,15878,14794,9800,47
3161761860,1089,76,True,15,6,22,5,2,4,238,3,0,0,0,69884,57207,10739,1937,30256,28603,1254,397,5845,5821,0,15869,13493,10600,0
3161091129,910,51,True,12,7,16,3,2,4,171,2,0,0,0,45860,1011,44485,364,19552,593,18734,224,454,5076,22,10744,11711,10275,39
3160054297,1260,51,False,14,12,16,3,2,4,139,3,0,0,0,91411,3307,87266,837,30694,1836,28064,792,615,11052,34,22287,14116,13500,58
3160027373,1111,202,False,16,8,20,3,3,5,210,4,1,0,0,105910,12329,93248,332,34401,2349,31719,332,3929,7216,38,21930,14276,14000,197
3160011226,1138,61,True,7,5,29,2,2,2,248,1,0,0,0,108986,100143,8392,450,37888,33973,3464,450,1707,7052,49,14006,12580,10885,415
3159993913,1164,38,True,6,12,20,3,2,2,133,2,0,0,0,48226,41633,5828,765,17956,16451,994,510,3635,17640,18,29883,11436,10550,103
